Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AHI1	gene	AHI1	Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3;Joubert syndrome;Joubert syndrome-3.	608894						3		13.2			ENSG00000135541	ENSG00000135541	HGNC:21575													
ALG5	gene	ALG5	NHS GMS;Expert Review Green;Literature	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Polycystic kidney disease 7, OMIM:620056	604565			35896117			3		13.2			ENSG00000120697	ENSG00000120697	HGNC:20266													
ALG8	gene	ALG8	Expert Review Green;Expert Review	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	cystic liver disease;cystic kidney disease;Polycystic liver disease 3 with or without kidney cysts, 617874	608103			30135240;28375157;15235028			3		13.2			ENSG00000159063	ENSG00000159063	HGNC:23161													
ALG9	gene	ALG9	Expert Review Green;Expert Review	Cystic renal disease			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	cystic liver disease;cystic kidney disease;Gillessen-Kaesbach-Nishimura syndrome, 263210	606941			31395617;28932688			3		13.2			ENSG00000086848	ENSG00000086848	HGNC:15672													
ALMS1	gene	ALMS1	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Eligibility statement prior genetic testing;UKGTN;Expert list	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl Syndrome;Alstrom syndrome, OMIM:203800	606844			22773737			3		13.2			ENSG00000116127	ENSG00000116127	HGNC:428													
ANKS6	gene	ANKS6	Expert Review Green;Expert	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Ciliopathy genes associated with cystic kidney disease;Nephronophthisis 16, OMIM:615382	615370			34740236			3		13.2			ENSG00000165138	ENSG00000165138	HGNC:26724													
ANKS6	gene	ANKS6	Orphanet;Expert Review Green;Expert list;Radboud University Medical Center, Nijmegen;UKGTN	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Polycystic Kidney Disease, Nephronophthisis And Related Disorders 22 Gene Panel;Nephronophthisis 16, OMIM:615382	615370			23793029;34740236			3		13.2			ENSG00000165138	ENSG00000165138	HGNC:26724													
ARL13B	gene	ARL13B	Expert Review Green;Expert list;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 8	608922			18674751;25138100			3		13.2			ENSG00000169379	ENSG00000169379	HGNC:25419													
ARL6	gene	ARL6	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	{Bardet Biedl syndrome 1, modifier of};Bardet-Biedl Syndrome;268000;Bardet Biedl syndrome 3	608845			15258860;21282186			3		13.2			ENSG00000113966	ENSG00000113966	HGNC:13210													
B9D2	gene	B9D2	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 34, OMIM:614175;Meckel syndrome 10, OMIM:614175;Meckel syndrome, type 10, MONDO:0013609	611951			26092869;21763481;31411728			3		13.2			ENSG00000123810	ENSG00000123810	HGNC:28636													
BBS1	gene	BBS1	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 1 OMIM:209900;Bardet-Biedl syndrome 1 MONDO:0008854	209901			23143442;12118255			3		13.2			ENSG00000174483	ENSG00000174483	HGNC:966													
BBS10	gene	BBS10	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 10	610148			16582908			3		13.2			ENSG00000179941	ENSG00000179941	HGNC:26291													
BBS12	gene	BBS12	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 12	610683			17160889			3		13.2			ENSG00000181004	ENSG00000181004	HGNC:26648													
BBS2	gene	BBS2	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 2	606151			11285252			3		13.2			ENSG00000125124	ENSG00000125124	HGNC:967													
