Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTN4	gene	ACTN4	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Proteinuric renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 1 603278	604638			10700177;26301083;16251236;29043128			3		6.0		Other - please provide details in the comments	ENSG00000130402	ENSG00000130402	HGNC:166													
AMN	gene	AMN	Expert Review Green;NHS GMS;Expert;Radboud University Medical Center, Nijmegen	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia-1, Norwegian type, OMIM:261100	605799			12590260;26040326			3		6.0			ENSG00000166126	ENSG00000166126	HGNC:14604													
APOE	gene	APOE	Expert Review Green;Literature	Proteinuric renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lipoprotein glomerulopathy, OMIM:611771	107741			10432380;9176854;18077821;31092271			3		6.0			ENSG00000130203	ENSG00000130203	HGNC:613													
ARHGDIA	gene	ARHGDIA	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 8 #615224	601925			23434736;23867502;30295827			3		6.0			ENSG00000141522	ENSG00000141522	HGNC:678													
CD151	gene	CD151	Expert Review Green;NHS GMS;Eligibility statement prior genetic testing	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephropathy with pretibial epidermolysis bullosa and deafness, OMIM:609057;nephrotic syndrome - deafness - pretibial epidermolysis bullosa syndrome, MONDO:0012190	602243			15265795;17015618;29138120;32641585;22338088;18787104;22201679			3		6.0			ENSG00000177697	ENSG00000177697	HGNC:1630													
CD2AP	gene	CD2AP	Expert Review Green;NHS GMS;Eligibility statement prior genetic testing	Proteinuric renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Glomerulosclerosis, focal segmental, 3, OMIM:607832;focal segmental glomerulosclerosis 3, susceptibility to, MONDO:0011917	604241			10514378;12764198;17713465;19131354;25501161;26997877;30348286;30612599;34408996;36964972			3		6.0			ENSG00000198087	ENSG00000198087	HGNC:14258													
CLCN5	gene	CLCN5	NHS GMS;Expert Review Green;Radboud University Medical Center, Nijmegen	Proteinuric renal disease			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Dent disease, 300009;Nephrolithiasis, type I, 310468;Hypophosphatemic rickets, 300554;Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis, 308990	300008			27757584;25907713;23886564			3		6.0			ENSG00000171365	ENSG00000171365	HGNC:2023													
COL4A3	gene	COL4A3	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Proteinuric renal disease			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Alport syndrome, autosomal dominant #104200;Alport syndrome, autosomal recessive #203780;Hematuria, benign familial #141200	120070			30506145;29987460;24052634			3		6.0			ENSG00000169031	ENSG00000169031	HGNC:2204													
COL4A4	gene	COL4A4	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Proteinuric renal disease			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Alport syndrome 2, autosomal recessive, OMIM:203780;Hematuria,familial benign, OMIM:141200	120131			30506145;29987460;24052634			3		6.0			ENSG00000081052	ENSG00000081052	HGNC:2206													
COL4A5	gene	COL4A5	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Proteinuric renal disease			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Alports;Familial benign haematuria;Alport syndrome;proteinuria;haematuria;FSGS	303630			29987460;29270492			3		6.0			ENSG00000188153	ENSG00000188153	HGNC:2207													
COQ2	gene	COQ2	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 1, OMIM:607426	609825			17855635;29637272;30180404			3		6.0			ENSG00000173085	ENSG00000173085	HGNC:25223													
COQ6	gene	COQ6	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 6 #614650	614647			21540551			3		6.0			ENSG00000119723	ENSG00000119723	HGNC:20233													
COQ8B	gene	COQ8B	Expert Review Green;NHS GMS	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 9 #615573	615567			24270420			3		6.0			ENSG00000123815	ENSG00000123815	HGNC:19041													
CRB2	gene	CRB2	Expert Review Green;NHS GMS;Literature	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	steroid resistant nephrotic syndrome;Focal segmental glomerulosclerosis 9 #616220;Ventriculomegaly with cystic kidney disease #219730	609720			25557779;27942854;29473663			3		6.0			ENSG00000148204	ENSG00000148204	HGNC:18688													
CUBN	gene	CUBN	NHS GMS;Expert Review Green;Expert;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia-1, Finnish type, 261100;Megaloblastic Anemia;(originally on the Imerslund-Grasbeck syndrome gene panel)	602997			21903995;22574174			3		6.0			ENSG00000107611	ENSG00000107611	HGNC:2548													
DAAM2	gene	DAAM2	Expert Review Green;Literature	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	steroid-resistant nephrotic syndrome MONDO:0044765	606627			33232676			3		6.0			ENSG00000146122	ENSG00000146122	HGNC:18143													
DGKE	gene	DGKE	Expert Review Green;NHS GMS	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 7, OMIM:615008	601440			23274426;23542698			3		6.0			ENSG00000153933	ENSG00000153933	HGNC:2852													
DLC1	gene	DLC1	Expert Review Green;NHS GMS	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Childhood and adult SSNS and SRNS	604258			29773874			3		6.0			ENSG00000164741	ENSG00000164741	HGNC:2897													
FAT1	gene	FAT1	Expert Review Green;NHS GMS	Proteinuric renal disease			BIALLELIC, autosomal or pseudoautosomal	Glomerulotubular nephropathy	600976			26905694			3		6.0			ENSG00000083857	ENSG00000083857	HGNC:3595													
FN1	gene	FN1	Expert Review Green;Expert list	Proteinuric renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulopathy with fibronectin deposits 2, OMIM:601894	135600			18268355;27056061;31419955			3		6.0			ENSG00000115414	ENSG00000115414	HGNC:3778													
GLA	gene	GLA	Expert Review Green;NHS GMS	Proteinuric renal disease			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Fabry disease 301500	300644			2539398;7504405;12786754			3		6.0			ENSG00000102393	ENSG00000102393	HGNC:4296													
