Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
C3	gene	C3	NHS GMS;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Atypical haemolytic uraemic syndrome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hemolytic uremic syndrome, atypical, susceptibility to, 5, OMIM:612925	120700			18796626			3		3.8		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000125730	ENSG00000125730	HGNC:1318													
CD46	gene	CD46	NHS GMS;Expert Review Green;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Eligibility statement prior genetic testing	Atypical haemolytic uraemic syndrome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 2 612922	120920			14615110;14566051;16621965			3		3.8			ENSG00000117335	ENSG00000117335	HGNC:6953													
CFB	gene	CFB	NHS GMS;Expert Review Green;Illumina TruGenome Clinical Sequencing Services	Atypical haemolytic uraemic syndrome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hemolytic uremic syndrome, atypical, susceptibility to, 4 612924	138470			17182750;26826462;19584399;23307876			3		3.8		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000243649	ENSG00000243649	HGNC:1037													
CFH	gene	CFH	NHS GMS;Expert Review Green;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Eligibility statement prior genetic testing	Atypical haemolytic uraemic syndrome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 1 235400	134370			26826462			3		3.8			ENSG00000000971	ENSG00000000971	HGNC:4883													
CFHR1	gene	CFHR1	NHS GMS;Expert Review Green;UKGTN	Atypical haemolytic uraemic syndrome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Hemolytic uremic syndrome, atypical, susceptibility to	235400"	134371			16998489;17367211			3		3.8			ENSG00000244414	ENSG00000244414	HGNC:4888													
CFHR3	gene	CFHR3	Expert Review Green;Literature;UKGTN	Atypical haemolytic uraemic syndrome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Hemolytic uremic syndrome, atypical, susceptibility to	235400"	605336			16998489;17367211			3		3.8			ENSG00000116785	ENSG00000116785	HGNC:16980													
CFI	gene	CFI	NHS GMS;Expert Review Green;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Eligibility statement prior genetic testing	Atypical haemolytic uraemic syndrome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 3, OMIM:612923;Complement factor I deficiency, OMIM:610984	217030			16621965;17597211;15173250;23685748;17018561;10352206			3		3.8			ENSG00000205403	ENSG00000205403	HGNC:5394													
DGKE	gene	DGKE	NHS GMS;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Atypical haemolytic uraemic syndrome			BIALLELIC, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 7 615008	601440			23542698;25854283			3		3.8			ENSG00000153933	ENSG00000153933	HGNC:2852													
MMACHC	gene	MMACHC	Expert Review Green;NHS GMS	Atypical haemolytic uraemic syndrome			BIALLELIC, autosomal or pseudoautosomal	"Methylmalonic aciduria and homocystinuria, cblC type,	277400"	609831			24210589;1593355;11972107;12210350;17874135;29068997;27324188			3		3.8			ENSG00000132763	ENSG00000132763	HGNC:24525													
ADAMTS13	gene	ADAMTS13	Expert Review Amber;Expert list	Atypical haemolytic uraemic syndrome			BIALLELIC, autosomal or pseudoautosomal	Thrombotic thrombocytopenic purpura, hereditary, OMIM:274150	604134			9828245;12130486;12640381			2		3.8			ENSG00000160323	ENSG00000160323	HGNC:1366													
CFHR5	gene	CFHR5	Expert Review Amber;Expert list	Atypical haemolytic uraemic syndrome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Nephropathy due to CFHR5 deficiency, MIM#	614809"	608593			22622361;20513133;30905589;29500241			2		3.8			ENSG00000134389	ENSG00000134389	HGNC:24668													
CFHR4	gene	CFHR4	Other	Atypical haemolytic uraemic syndrome			Unknown	Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility	605337			19861685;23830046;28822440			1		3.8			ENSG00000134365	ENSG00000134365	HGNC:16979													
INF2	gene	INF2	NHS GMS	Atypical haemolytic uraemic syndrome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Charcot-Marie-Tooth disease, dominant intermediate E, 614455;Glomerulosclerosis, focal segmental, 5, 613237	610982			27974406			1		3.8			ENSG00000203485	ENSG00000203485	HGNC:23791													
THBD	gene	THBD	NHS GMS;Expert Review Red;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Atypical haemolytic uraemic syndrome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hemolytic uremic syndrome, atypical, susceptibility to, 6, 612926;Thrombophilia due to thrombomodulin defect 614486	188040			19625716;25135378;20513133;23307876			1		3.8			ENSG00000178726	ENSG00000178726	HGNC:11784													
VTN	gene	VTN	NHS GMS	Atypical haemolytic uraemic syndrome			Unknown	Atypical haemolytic uraemic syndrome;aHUS	193190			30377230			1		3.8			ENSG00000109072	ENSG00000109072	HGNC:12724													
