Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ANKS6	gene	ANKS6	NHS GMS;Expert Review Green	Tubulointerstitial kidney disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 16, OMIM:615382;nephronophthisis 16, MONDO:0014158	615370			2379302			3		3.32			ENSG00000165138	ENSG00000165138	HGNC:26724													
CEP164	gene	CEP164	NHS GMS;Expert Review Green	Tubulointerstitial kidney disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 15, OMIM:614845;nephronophthisis 15, MONDO:0013917	614848						3		3.32			ENSG00000110274	ENSG00000110274	HGNC:29182													
CEP83	gene	CEP83	NHS GMS;Expert Review Green	Tubulointerstitial kidney disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 18, OMIM:615862;nephronophthisis 18, MONDO:0014374	615847						3		3.32			ENSG00000173588	ENSG00000173588	HGNC:17966													
DNAJB11	gene	DNAJB11	Expert Review Green;NHS GMS	Tubulointerstitial kidney disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Polycystic kidney disease 6 with or without polycystic liver disease, OMIM:618061;Tubulointerstitial disease	611341			29706351;29777155			3		3.32			ENSG00000090520	ENSG00000090520	HGNC:14889													
GATM	gene	GATM	NHS GMS;Expert Review Green	Tubulointerstitial kidney disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fanconi renotubular syndrome 1, OMIM:134600;Fanconi renotubular syndrome 1, MONDO:0024525	602360			29654216			3		3.32		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype -please provide details in the comments	ENSG00000171766	ENSG00000171766	HGNC:4175													
HNF1B	gene	HNF1B	NHS GMS;Expert Review Green	Tubulointerstitial kidney disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Renal cysts and diabetes syndrome MIM 137920;NIDDM MIM 125853	189907			15930087			3		3.32			ENSG00000275410	ENSG00000108753	HGNC:11630													
INVS	gene	INVS	NHS GMS;Expert Review Green	Tubulointerstitial kidney disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 2, infantile, OMIM:602088;nephronophthisis 2, MONDO:0011190	243305						3		3.32			ENSG00000119509	ENSG00000119509	HGNC:17870													
MAPKBP1	gene	MAPKBP1	NHS GMS;Expert Review Green	Tubulointerstitial kidney disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 20, OMIM:617271;nephronophthisis 20, MONDO:0014997	616786			28089251			3		3.32			ENSG00000137802	ENSG00000137802	HGNC:29536													
MT-TF	gene	MT-TF	Expert Review Green;Literature	Tubulointerstitial kidney disease			MITOCHONDRIAL	Tubulointerstitial kidney disease;tubulointerstitial nephritis;renal insufficiency;renal failure	590070			28267784;11231339;20142618;23135609			3		3.32			ENSG00000210049	ENSG00000210049	HGNC:7481													
MUC1	gene	MUC1	Expert Review Green;NHS GMS	Tubulointerstitial kidney disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Medullary cystic kidney disease 1 MIM 174000	158340			23396133;29967284;29156055;29520014;23946964			3		3.32		Other - please provide details in the comments	ENSG00000185499	ENSG00000185499	HGNC:7508													
