Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
APOA1	gene	APOA1	NHS GMS;Expert Review Green	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyloidosis, 3 or more types OMIM:105200;familial visceral amyloidosis MONDO:0007099	107680			27240838;21820994;16925563;32022753			3		1.28			ENSG00000118137	ENSG00000118137	HGNC:600													
APOA2	gene	APOA2	NHS GMS;Expert Review Green	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted		107670			29270531;11703582;12787390;11401442			3		1.28			ENSG00000158874	ENSG00000158874	HGNC:601													
APOC2	gene	APOC2	NHS GMS;Expert Review Green	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted		608083			30197986;27297947			3		1.28			ENSG00000234906	ENSG00000234906	HGNC:609													
FGA	gene	FGA	NHS GMS;Expert Review Green	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyloidosis, familial visceral, OMIM:105200	134820			19073821;29142973;23551149			3		1.28			ENSG00000171560	ENSG00000171560	HGNC:3661													
GSN	gene	GSN	NHS GMS;Expert Review Green	Hereditary systemic amyloidosis			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Amyloidosis, Finnish type, OMIM:105120	137350			24601799;25342098;22938848			3		1.28			ENSG00000148180	ENSG00000148180	HGNC:4620													
LYZ	gene	LYZ	NHS GMS;Expert Review Green	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyloidosis, renal 105200	153450			21988333			3		1.28			ENSG00000090382	ENSG00000090382	HGNC:6740													
TTR	gene	TTR	NHS GMS;Expert Review Green	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyloidosis, hereditary, transthyretin-related 105210	176300			30328212;14640030;30878017;31131842;31118583;31111153;30120737			3		1.28			ENSG00000118271	ENSG00000118271	HGNC:12405													
APOA4	gene	APOA4	Expert Review Amber;Literature	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Tubulointerstitial kidney disease, autosomal dominant 6, OMIM: 621106;tubulointerstitial kidney disease, autosomal dominant 6, MONDO:0976234;AApoAIV amyloidosis, MONDO:0018589	107690			21900878;27262366;33751222;38096951;39699959			2		1.28			ENSG00000110244	ENSG00000110244	HGNC:602													
APOC3	gene	APOC3	Expert Review Amber;NHS GMS	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted		107720			26790392			2		1.28			ENSG00000110245	ENSG00000110245	HGNC:610													
B2M	gene	B2M	Expert Review Amber;NHS GMS	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	?Amyloidosis, familial visceral 105200	109700			22693999			2		1.28			ENSG00000166710	ENSG00000166710	HGNC:914													
CST3	gene	CST3	Expert Review Amber;NHS GMS	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cerebral amyloid angiopathy 105150	604312			2900981;3495457;1352269;3673496;7482672			2		1.28			ENSG00000101439	ENSG00000101439	HGNC:2475													
NLRP3	gene	NLRP3	Expert Review Amber;Expert list	Hereditary systemic amyloidosis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Muckle-Wells syndrome, OMIM:191900;Renal amyloidosis	606416			11687797;28229991;27435956;31057541;30431487			2		1.28			ENSG00000162711	ENSG00000162711	HGNC:16400													
