Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AGXT	gene	AGXT	Expert Review Green;Eligibility statement prior genetic testing;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services;UKGTN;Emory Genetics Laboratory	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Primary Hyperoxaluria Type 1;Primary Hyperoxaluria;Hyperoxaluria, primary, type 1, 259900;Hyperoxaluria;primary hyperoxaluria	604285						3		6.0			ENSG00000172482	ENSG00000172482	HGNC:341													
APRT	gene	APRT	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	"Adenine phosphoribosyltransferase deficiency	614723"	102600						3		6.0			ENSG00000198931	ENSG00000198931	HGNC:626													
ATP6V0A4	gene	ATP6V0A4	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing;Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Distal renal tubular acidosis 3, with or without sensorineural hearing loss, OMIM:602722	605239			27274828;32123165;23729491;25572248;26208211;26571219;27247958;28233610;29202719;29725771;30230413;30256676;31348261;31929293;32613277;33881640;34159584			3		6.0			ENSG00000105929	ENSG00000105929	HGNC:866													
ATP6V1B1	gene	ATP6V1B1	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing;Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Distal renal tubular acidosis 2 with progressive sensorineural hearing loss, OMIM:267300;renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss, MONDO:0009968	192132			39837581;9916796;12566520;18798332			3		6.0			ENSG00000116039	ENSG00000116039	HGNC:853													
BSND	gene	BSND	Expert Review Green;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Bartter Syndrome;Bartter syndrome, type 4a, 602522;Sensorineural deafness with mild renal dysfunction, 602522	606412						3		6.0			ENSG00000162399	ENSG00000162399	HGNC:16512													
CA2	gene	CA2	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	611492						3		6.0			ENSG00000104267	ENSG00000104267	HGNC:1373													
CASR	gene	CASR	Expert Review Green;Eligibility statement prior genetic testing;Expert;Radboud University Medical Center, Nijmegen;UKGTN;Illumina TruGenome Clinical Sequencing Services	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Familial Hypocalciuric Hypercalcemia;Hypocalciuric hypercalcemia, type I, 145980Hyperparathyroidism, neonatal, 239200Hypocalcemia, autosomal dominant, 601198Hypocalcemia, autosomal dominant, with Bartter syndrome, 601198{Epilepsy idiopathic generalized, susceptibility to,;Hypocalcemia (dominant);Familial Hypocalciuric Hypercalcemia (dominant);hypocalciuric hypercalcaemia	601199						3		6.0		Other	ENSG00000036828	ENSG00000036828	HGNC:1514													
CLCN5	gene	CLCN5	Expert Review Green;Expert;UKGTN;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Nephrocalcinosis or nephrolithiasis			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Dent Disease;Dent disease, 300009;Nephrolithiasis, type I, 310468Hypophosphatemic rickets, 300554;Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis, 308990;Nephrocalcinosis with low molecular weight proteinuria and pregressive CKD	300008						3		6.0			ENSG00000171365	ENSG00000171365	HGNC:2023													
CLCNKB	gene	CLCNKB	NHS GMS;Expert Review Green;Expert;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Bartter syndrome, type 3, OMIM:607364;Bartter disease type 3, MONDO:0011822;Bartter syndrome, type 4b, digenic, OMIM:613090;Bartter disease type 4B, MONDO:0000909	602023			28018459;23550235			3		6.0			ENSG00000184908	ENSG00000184908	HGNC:2027													
CLDN16	gene	CLDN16	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Hypomagnesemia 3, renal, OMIM:248250	603959						3		6.0			ENSG00000113946	ENSG00000113946	HGNC:2037													
CLDN19	gene	CLDN19	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	hypomagensemia with nephrocalcinosis;Hypomagnesemia 5, renal, with ocular involvement	610036			PMID: 17033971			3		6.0			ENSG00000164007	ENSG00000164007	HGNC:2040													
CYP24A1	gene	CYP24A1	Expert Review Green;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Infantile Hypercalcemia;Hypercalcemia, infantile, 143880;Infantile hypercalcaemia	126065						3		6.0			ENSG00000019186	ENSG00000019186	HGNC:2602													
