Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACE	gene	ACE	Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, OMIM:267430	106180						3		13.1			ENSG00000159640	ENSG00000159640	HGNC:2707													
ACTG2	gene	ACTG2	Expert Review Green	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megacystis-microcolon-intestinal hypoperistalsis syndrome 5, OMIM:619431;Visceral myopathy 1, OMIM:155310;Berdon syndrome	102545			25998219			3		13.1			ENSG00000163017	ENSG00000163017	HGNC:145													
ACTN4	gene	ACTN4	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 1 603278	604638			10700177;26301083;16251236;29043128			3		13.1		Other - please provide details in the comments	ENSG00000130402	ENSG00000130402	HGNC:166													
AGT	gene	AGT	Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, OMIM:267430	106150						3		13.1			ENSG00000135744	ENSG00000135744	HGNC:333													
AGTR1	gene	AGTR1	Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, OMIM:267430	106165						3		13.1			ENSG00000144891	ENSG00000144891	HGNC:336													
AGXT	gene	AGXT	Expert Review Green;Eligibility statement prior genetic testing;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services;UKGTN;Emory Genetics Laboratory	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Primary Hyperoxaluria Type 1;Primary Hyperoxaluria;Hyperoxaluria, primary, type 1, 259900;Hyperoxaluria;primary hyperoxaluria	604285						3		13.1			ENSG00000172482	ENSG00000172482	HGNC:341													
AHI1	gene	AHI1	Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3;Joubert syndrome;Joubert syndrome-3.	608894						3		13.1			ENSG00000135541	ENSG00000135541	HGNC:21575													
ALG5	gene	ALG5	NHS GMS;Expert Review Green;Literature	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Polycystic kidney disease 7, OMIM:620056	604565			35896117			3		13.1			ENSG00000120697	ENSG00000120697	HGNC:20266													
ALG8	gene	ALG8	Expert Review Green;Expert Review	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	cystic liver disease;cystic kidney disease;Polycystic liver disease 3 with or without kidney cysts, 617874	608103			30135240;28375157;15235028			3		13.1			ENSG00000159063	ENSG00000159063	HGNC:23161													
ALG9	gene	ALG9	Expert Review Green;Expert Review	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	cystic liver disease;cystic kidney disease;Gillessen-Kaesbach-Nishimura syndrome, 263210	606941			31395617;28932688			3		13.1			ENSG00000086848	ENSG00000086848	HGNC:15672													
ALMS1	gene	ALMS1	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Eligibility statement prior genetic testing;UKGTN;Expert list	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl Syndrome;Alstrom syndrome, OMIM:203800	606844			22773737			3		13.1			ENSG00000116127	ENSG00000116127	HGNC:428													
